date,agenda,speechnumber,speaker,party,party.facts.id,chair,terms,text,parliament,iso3country
1991-03-12,,2,Theodor Waigel,CDU/CSU,211.0,False,880,"Frau Präsidentin ! Meine sehr geehrten Damen und Herren ! Der Ihnen heute zur ersten Beratung vorliegende Entwurf des Bundeshaushalts 1991 ist der Haushalt der Wiedervereinigung . Fast ein Viertel aller Ausgaben von über 400 Milliarden DM bezieht sich auf die am 3 . Oktober 1990 neu hinzugekommenen Bundesländer . Umfang und Struktur dieses Haushaltsentwurfs sind Zeugnis der gewaltigen Herausforderungen , vor die wir seit dem Fall von Mauer und Stacheldraht im November 1989 gestellt sind . Es geht jetzt darum , die Folgen von 45 Jahren katastrophaler sozialistischer Mißwirtschaft zu beseitigen . Zugleich müssen wir uns den gestiegenen internationalen Anforderungen an ein wiede rvereinigtes Deutschland stellen . Dieses Zusammentreffen gewaltiger Aufgaben erfordert den Zusammenhalt aller Kräfte . Und ohne die finanz- und haushaltspolitische Absicherung ist der Einigungsprozeß nicht gestaltbar . Die SPD unterstellt uns , wir hätten die Probleme im Zusammenhang mit der Wiedervereinigung verharmlost und den Bürgern mögliche Belastungen verschwiegen . . _ Ich wußte gar nicht , daß Sie in der Früh' schon so lebendig sind . _ (Struck [SPD] : Sie werden sich noch wundern , Herr Waigel ! _ Wieczorek [Duisburg] [SPD] : Wir sind doch keine Schlafmützen !) Das Gegenteil , meine Damen und Herren , läßt sich beweisen . . Ich habe in einer Ansprache vor dem Zentralausschuß der Deutschen Landwirtschaft am 14 . Februar 1990 folgendes gesagt : (Vogel [SPD] : Steuern werden nicht erhöht ! ) Die wirtschaftliche Zusammenarbeit mit der DDR und dann die Wiedervereinigung haben ihren Preis . Wir dürfen den Menschen keinen Sand in die Augen streuen . . Ebenso wie die Solidargemeinschaft der Bürger in der Bundesrepublik den Beitrag jedes einzelnen fordert , ist die Solidarität auch im wiedervereinigten Deutschland unverzichtbar . . Der Bundeskanzler und andere Mitglieder der Regierung haben darauf ebenfalls hingewiesen : Die Wiedervereinigung ist nicht zum Nulltarif zu haben . . _ Auch Gelächter kann über die Richtigkeit dieses Satzes nicht hinwegtäuschen . . Außer falschen Prognosen und Gelächter haben Sie zur Wiedervereinigung im ökonomischen Bereich relativ wenig beigetragen . . Und wenn es nach Ihrem Kanzlerkandidaten gegangen wäre , dann hätten wir heute kein wiedervereinigtes Deutschland . (Lebhafter Beifall bei der CDU/CSU und der FDP _ Widerspruch bei der SPD) Richtig ist : Niemand konnte im letzten Jahr , niemand kann heute die Gesamtinvestitionen für den vollen Anschluß der neuen Bundesländer an die Wirtschaftskraft des westlichen Teils Deutschlands beziffern . (Vogel [SPD] : Aber vor den Wahlen schwindeln , das kann er !) _ Ich habe das hier und an vielen anderen Stellen immer wieder gesagt : (Vogel [SPD] : Keine Steuererhöhun - gen haben Sie gesagt !) Niemand kann die Kosten dieser Wiedervereinigung voraussagen . Niemand konnte das voraussagen ! . Aber wir haben die ökonomischen Voraussetzungen und die Wachstumsvoraussetzungen dafür geschaffen , daß sich dieser Prozeß heute finanzierbar darstellt , ohne die Solidität unserer Finanzen zu gefährden . Das ist unsere Antwort . . Wir alle , die Gewerkschaften , die Unternehmen und alle gesellschaftlichen Gruppen , entscheiden gemeinsam darüber , in welcher Form und in welcher Geschwindigkeit wir die wirtschaftliche und soziale Integration vollziehen . Der Umfang der privaten Investitionen , die Verteilung der Ressourcen auf Konsum und Investitionen , die Tariflohnentwicklung , die Entwicklung in früheren sozialistischen Staaten sind Faktoren außerhalb des unmittelbaren Einflußbereichs der Politik . Diese Faktoren sind für das Tempo des wirtschaftlichen Aufholprozesses mindestens ebenso wichtig wie staatliche Zahlungen und Förderinstrumente . (Wieczorek [Duisburg] [SPD] : Sie müssen die Voraussetzungen schaffen !) _ Genau das tun wir . . Meine Damen und Herren , ich darf Sie vielleicht einmal an folgendes erinnern : Noch im September 1989 warnte der Kanzlerkandidat Oskar Lafontaine (Wieczorek [Duisburg] [SPD] : Guter Mann !) vor unbedachten Wiedervereinigungsparolen . Ist das eigentlich schon so lange vorbei , daß Sie sich daran erinnern lassen müssen , mit welchen falschen Parolen und welchen falschen Prophezeiungen Sie in das Jahr 1990 gegangen sind ? . Oskar Lafontaine irrte auch , als er im letzten Jahr von der früheren DDR als einem führenden Industrieland und attraktiven Produktionsstandort sprach . . Das Ausmaß der vom Sozialismus hinterlassenen Zerstörung mußte aber selbst kühle Realisten und Skeptiker gegenüber der kommunistischen Propaganda überraschen . (Briefs [PDS/Linke Liste] : So kriegen Sie die Steuerlüge nicht aus der Welt !) Die Produktivität belief sich in der früheren DDR vor Einführung der Marktwirtschaft lediglich auf ein Drittel des westdeutschen Niveaus . Produktions- und Beschäftigungsstruktur entsprachen in keiner Weise der nationalen und internationalen Nachfrage . Die Anlagen waren größtenteils veraltet , ganze Fabrikausstattungen stammten noch aus der Zeit vor 1945 . . Die einseitig auf Braunkohle ausgerichtete Energiewirtschaft konnte ihre Produktionsleistung nur um den Preis gewaltiger Umweltschäden erbringen . (Steiner [SPD] : Das war das große Geheimnis ! _ Opel [SPD] : Das ist ja ganz neu !) _Ja , wenn das für Sie alles bekannt war , wie konnte dann ein so kluger Mann wie Ihr Kanzlerkandidat von einem guten Investitionsstandort sprechen ? Diesen Zwiespalt und Widerspruch in Ihrer Argumentation verstehe ich nicht . . Die Infrastruktur muß praktisch von Grund auf überholt werden . So ist das völlig überlastete Eisenbahnnetz in seiner Ausbauqualität sogar noch weit hinter den Stand von 1939 zurückgefallen . (Anhaltende Zurufe des Abg Duve [SPD]) _Frau Präsidentin , da muß ein Blähhals am Werke sein . .",DE-Bundestag,DEU
1991-03-12,,3,Rita Süssmuth,CDU/CSU,211.0,True,15,"Herr Duve , ich fordere Sie auf , Herrn Waigel reden zu lassen . .",DE-Bundestag,DEU
